#,API Target,Morningstar Field Name,DB Table,DB Column,Data Type,Lens / Feature Impact,Priority,Status,Notes
1,Risk Stats API (qmaym0ulfsyb83j7),MaxDrawdown1Yr,risk_stats_monthly,max_drawdown_1y,Numeric(12.5),Risk + Resilience,CRITICAL,MISSING,Unlocks Resilience lens
2,Risk Stats API (qmaym0ulfsyb83j7),MaxDrawdown3Yr,risk_stats_monthly,max_drawdown_3y,Numeric(12.5),Risk + Resilience,CRITICAL,MISSING,Primary Risk lens metric
3,Risk Stats API (qmaym0ulfsyb83j7),MaxDrawdown5Yr,risk_stats_monthly,max_drawdown_5y,Numeric(12.5),Risk + Resilience,CRITICAL,MISSING,Long-horizon drawdown
4,Risk Stats API (qmaym0ulfsyb83j7),CaptureRatioDownside1Yr,risk_stats_monthly,capture_down_1y,Numeric(12.5),Risk,CRITICAL,MISSING,Downside capture ratio
5,Risk Stats API (qmaym0ulfsyb83j7),CaptureRatioDownside3Yr,risk_stats_monthly,capture_down_3y,Numeric(12.5),Risk + Resilience,CRITICAL,MISSING,Primary Resilience metric
6,Risk Stats API (qmaym0ulfsyb83j7),CaptureRatioDownside5Yr,risk_stats_monthly,capture_down_5y,Numeric(12.5),Resilience,CRITICAL,MISSING,5Y downside capture
7,Risk Stats API (qmaym0ulfsyb83j7),CaptureRatioUpside1Yr,risk_stats_monthly,capture_up_1y,Numeric(12.5),Resilience (Up/Down ratio),CRITICAL,MISSING,Needed for Up/Down ratio calc
8,Risk Stats API (qmaym0ulfsyb83j7),CaptureRatioUpside3Yr,risk_stats_monthly,capture_up_3y,Numeric(12.5),Resilience (Up/Down ratio),CRITICAL,MISSING,Primary Up/Down ratio
9,Risk Stats API (qmaym0ulfsyb83j7),CaptureRatioUpside5Yr,risk_stats_monthly,capture_up_5y,Numeric(12.5),Resilience,HIGH,MISSING,5Y upside capture
10,Risk Stats API (qmaym0ulfsyb83j7),CaptureRatioUpside10Yr,risk_stats_monthly,capture_up_10y,Numeric(12.5),Analytics,MEDIUM,MISSING,10Y upside capture
11,Risk Stats API (qmaym0ulfsyb83j7),Alpha5Yr,risk_stats_monthly,alpha_5y,Numeric(12.5),Alpha lens,HIGH,MISSING,Currently only Alpha3Yr available
12,Risk Stats API (qmaym0ulfsyb83j7),Alpha10Yr,risk_stats_monthly,alpha_10y,Numeric(12.5),Alpha lens,HIGH,MISSING,Long-horizon alpha
13,Risk Stats API (qmaym0ulfsyb83j7),InformationRatio1Yr,risk_stats_monthly,info_ratio_1y,Numeric(12.5),Alpha lens,HIGH,MISSING,Manager skill measure
14,Risk Stats API (qmaym0ulfsyb83j7),InformationRatio3Yr,risk_stats_monthly,info_ratio_3y,Numeric(12.5),Alpha lens,HIGH,MISSING,Primary Alpha lens metric
15,Risk Stats API (qmaym0ulfsyb83j7),InformationRatio5Yr,risk_stats_monthly,info_ratio_5y,Numeric(12.5),Alpha lens,HIGH,MISSING,5Y information ratio
16,Risk Stats API (qmaym0ulfsyb83j7),InformationRatio10Yr,risk_stats_monthly,info_ratio_10y,Numeric(12.5),Analytics,MEDIUM,MISSING,10Y information ratio
17,Risk Stats API (qmaym0ulfsyb83j7),Beta5Yr,risk_stats_monthly,beta_5y,Numeric(12.5),Risk lens,MEDIUM,MISSING,Currently only Beta3Yr available
18,Risk Stats API (qmaym0ulfsyb83j7),Beta10Yr,risk_stats_monthly,beta_10y,Numeric(12.5),Analytics,MEDIUM,MISSING,10Y beta
19,Risk Stats API (qmaym0ulfsyb83j7),TrackingError1Yr,risk_stats_monthly,tracking_error_1y,Numeric(12.5),Alpha context,MEDIUM,MISSING,Benchmark deviation measure
20,Risk Stats API (qmaym0ulfsyb83j7),TrackingError3Yr,risk_stats_monthly,tracking_error_3y,Numeric(12.5),Alpha context,MEDIUM,MISSING,3Y tracking error
21,Risk Stats API (qmaym0ulfsyb83j7),TrackingError5Yr,risk_stats_monthly,tracking_error_5y,Numeric(12.5),Analytics,MEDIUM,MISSING,5Y tracking error
22,Risk Stats API (qmaym0ulfsyb83j7),TrackingError10Yr,risk_stats_monthly,tracking_error_10y,Numeric(12.5),Analytics,LOW,MISSING,10Y tracking error
23,Risk Stats API (qmaym0ulfsyb83j7),TreynorRatio1Yr,risk_stats_monthly,treynor_1y,Numeric(12.5),Analytics,MEDIUM,MISSING,Risk-adjusted return per unit of systematic risk
24,Risk Stats API (qmaym0ulfsyb83j7),TreynorRatio3Yr,risk_stats_monthly,treynor_3y,Numeric(12.5),Analytics,MEDIUM,MISSING,3Y Treynor
25,Risk Stats API (qmaym0ulfsyb83j7),TreynorRatio5Yr,risk_stats_monthly,treynor_5y,Numeric(12.5),Analytics,MEDIUM,MISSING,5Y Treynor
26,Risk Stats API (qmaym0ulfsyb83j7),TreynorRatio10Yr,risk_stats_monthly,treynor_10y,Numeric(12.5),Analytics,LOW,MISSING,10Y Treynor
27,Risk Stats API (qmaym0ulfsyb83j7),Rsquared3Yr,risk_stats_monthly,r_squared_3y,Numeric(12.5),Analytics,MEDIUM,MISSING,Currently only Rsquared1Yr available
28,Risk Stats API (qmaym0ulfsyb83j7),Rsquared5Yr,risk_stats_monthly,r_squared_5y,Numeric(12.5),Analytics,MEDIUM,MISSING,5Y R-squared
29,Risk Stats API (qmaym0ulfsyb83j7),Correlation1Yr,risk_stats_monthly,correlation_1y,Numeric(12.5),Analytics,LOW,MISSING,Benchmark correlation
30,Risk Stats API (qmaym0ulfsyb83j7),Correlation3Yr,risk_stats_monthly,correlation_3y,Numeric(12.5),Analytics,LOW,MISSING,3Y correlation
31,Risk Stats API (qmaym0ulfsyb83j7),Correlation5Yr,risk_stats_monthly,correlation_5y,Numeric(12.5),Analytics,LOW,MISSING,5Y correlation
32,Risk Stats API (qmaym0ulfsyb83j7),Kurtosis1Yr,risk_stats_monthly,kurtosis_1y,Numeric(12.5),Analytics,LOW,MISSING,Distribution tail risk
33,Risk Stats API (qmaym0ulfsyb83j7),Kurtosis3Yr,risk_stats_monthly,kurtosis_3y,Numeric(12.5),Analytics,LOW,MISSING,3Y kurtosis
34,Risk Stats API (qmaym0ulfsyb83j7),Kurtosis5Yr,risk_stats_monthly,kurtosis_5y,Numeric(12.5),Analytics,LOW,MISSING,5Y kurtosis
35,Risk Stats API (qmaym0ulfsyb83j7),Skewness1Yr,risk_stats_monthly,skewness_1y,Numeric(12.5),Analytics,LOW,MISSING,Distribution asymmetry
36,Risk Stats API (qmaym0ulfsyb83j7),Skewness3Yr,risk_stats_monthly,skewness_3y,Numeric(12.5),Analytics,LOW,MISSING,3Y skewness
37,Risk Stats API (qmaym0ulfsyb83j7),Skewness5Yr,risk_stats_monthly,skewness_5y,Numeric(12.5),Analytics,LOW,MISSING,5Y skewness
38,Return Data API (fhqbikngn12un6yk),Year1,nav_daily,calendar_year_return_1y,Numeric(12.5),Resilience (worst year) + Consistency,HIGH,MISSING,Last calendar year return
39,Return Data API (fhqbikngn12un6yk),Year2,nav_daily,calendar_year_return_2y,Numeric(12.5),Resilience + Consistency,HIGH,MISSING,2 years ago CY return
40,Return Data API (fhqbikngn12un6yk),Year3,nav_daily,calendar_year_return_3y,Numeric(12.5),Resilience + Consistency,HIGH,MISSING,3 years ago CY return
41,Return Data API (fhqbikngn12un6yk),Year4,nav_daily,calendar_year_return_4y,Numeric(12.5),Resilience + Consistency,HIGH,MISSING,4 years ago CY return
42,Return Data API (fhqbikngn12un6yk),Year5,nav_daily,calendar_year_return_5y,Numeric(12.5),Resilience + Consistency,HIGH,MISSING,5 years ago CY return
43,Return Data API (fhqbikngn12un6yk),Year6,nav_daily,calendar_year_return_6y,Numeric(12.5),Analytics,MEDIUM,MISSING,6 years ago CY return
44,Return Data API (fhqbikngn12un6yk),Year7,nav_daily,calendar_year_return_7y,Numeric(12.5),Analytics,MEDIUM,MISSING,7 years ago CY return
45,Return Data API (fhqbikngn12un6yk),Year8,nav_daily,calendar_year_return_8y,Numeric(12.5),Analytics,MEDIUM,MISSING,8 years ago CY return
46,Return Data API (fhqbikngn12un6yk),Year9,nav_daily,calendar_year_return_9y,Numeric(12.5),Analytics,MEDIUM,MISSING,9 years ago CY return
47,Return Data API (fhqbikngn12un6yk),Year10,nav_daily,calendar_year_return_10y,Numeric(12.5),Analytics,MEDIUM,MISSING,10 years ago CY return
